Type;NAME;ICB INDUSTRY CODE;ICB INDUSTRY NAME;ICB SECTOR CODE;ICB SECTOR NAME;ICB SUBSECTOR CODE;ICB SUBSECTOR NAME
891399;AMAZON.COM;40;Consumer Discretionary;404010;Retailers;40401010;Diversified Retailers
916328;ABBOTT LABORATORIES;20;Health Care;201030;Pharmaceuticals and Biotechnology;20103015;Pharmaceuticals
545101;AES;65;Utilities;651010;Electricity;65101015;Conventional Electricity
777953;ABIOMED;20;Health Care;201020;Medical Equipment and Services;20102010;Medical Equipment
906187;INTERNATIONAL BUS.MCHS.;10;Technology;101010;Software and Computer Services;10101010;Computer Services
936365;ADVANCED MICRO DEVICES;10;Technology;101020;Technology Hardware and Equipment;10102010;Semiconductors
749382;ADOBE (NAS);10;Technology;101010;Software and Computer Services;10101015;Software
891631;ALEXANDRIA RLST.EQTIES.;35;Real Estate;351020;Real Estate Investment Trusts;35102030;Office REITs
905271;AIR PRDS.& CHEMS.;55;Basic Materials;552010;Chemicals;55201020;Specialty Chemicals
921794;ALASKA AIR GROUP;40;Consumer Discretionary;405010;Travel and Leisure;40501010;Airlines
894371;BOSTON PROPERTIES;35;Real Estate;351020;Real Estate Investment Trusts;35102030;Office REITs
322677;ALLSTATE ORD SHS;30;Financials;303020;Non-life Insurance;30302025;Property and Casualty Insurance
906191;HONEYWELL INTL.;50;Industrials;502030;General Industrials;50203000;Diversified Industrials
938692;AMGEN;20;Health Care;201030;Pharmaceuticals and Biotechnology;20103010;Biotechnology
905802;HESS;60;Energy;601010;Oil, Gas and Coal;60101015;Offshore Drilling and Other Services
906156;AMERICAN EXPRESS;50;Industrials;502050;Industrial Support Services;50205015;Transaction Processing Services
905425;AMER.ELEC.PWR.;65;Utilities;651010;Electricity;65101015;Conventional Electricity
933185;AFLAC;30;Financials;303010;Life Insurance;30301010;Life Insurance
916305;AMERICAN INTL.GP.;30;Financials;303020;Non-life Insurance;30302010;Full Line Insurance
905276;ANALOG DEVICES;10;Technology;101020;Technology Hardware and Equipment;10102010;Semiconductors
873087;ALEXION PHARMS.;20;Health Care;201030;Pharmaceuticals and Biotechnology;20103010;Biotechnology
982852;VALERO ENERGY;60;Energy;601010;Oil, Gas and Coal;60101020;Oil Refining and Marketing
921983;APACHE;60;Energy;601010;Oil, Gas and Coal;60101010;Oil: Crude Producers
981550;COMCAST A;15;Telecommunications;151020;Telecommunications Service Providers;15102010;Cable Television Services
874830;ANSYS;10;Technology;101010;Software and Computer Services;10101015;Software
992816;APPLE;10;Technology;101020;Technology Hardware and Equipment;10102030;Computer Hardware
905296;APPLIED MATS.;10;Technology;101020;Technology Hardware and Equipment;10102020;Production Technology Equipment
130298;ALBEMARLE;55;Basic Materials;552010;Chemicals;55201000;Chemicals: Diversified
921093;ARCHER DANIELS MIDLAND;45;Consumer Staples;451020;Food Producers;45102030;Fruit and Grain Processing
902607;PINNACLE WEST CAP.;65;Utilities;651010;Electricity;65101015;Conventional Electricity
670942;AMEREN;65;Utilities;651020;Gas, Water and Multi-utilities;65102000;Multi-Utilities
702259;AUTODESK;10;Technology;101010;Software and Computer Services;10101015;Software
912669;AUTOMATIC DATA PROC.;50;Industrials;502050;Industrial Support Services;50205020;Professional Business Support Services
544616;AUTOZONE;40;Consumer Discretionary;404010;Retailers;40401030;Specialty Retailers
921161;AVERY DENNISON;55;Basic Materials;551010;Industrial Materials;55101000;Diversified Materials
932060;BALL;50;Industrials;502030;General Industrials;50203030;Containers and Packaging
874227;BERKSHIRE HATHAWAY 'B';30;Financials;303020;Non-life Insurance;30302020;Reinsurance
916365;BAXTER INTL.;20;Health Care;201020;Medical Equipment and Services;20102010;Medical Equipment
905876;BECTON DICKINSON;20;Health Care;201020;Medical Equipment and Services;20102015;Medical Supplies
921725;AMETEK;50;Industrials;502020;Electronic and Electrical Equipment;50202025;Electronic Equipment: Gauges and Meters
945384;VERIZON COMMUNICATIONS;15;Telecommunications;151020;Telecommunications Service Providers;15102015;Telecommunications Services
906828;W R BERKLEY;30;Financials;303020;Non-life Insurance;30302025;Property and Casualty Insurance
929302;BEST BUY;40;Consumer Discretionary;404010;Retailers;40401030;Specialty Retailers
895784;SL GREEN REALTY;35;Real Estate;351020;Real Estate Investment Trusts;35102030;Office REITs
992765;BIO-RAD LABORATORIES 'A';20;Health Care;201020;Medical Equipment and Services;20102010;Medical Equipment
878574;YUM! BRANDS;40;Consumer Discretionary;405010;Travel and Leisure;40501040;Restaurants and Bars
905159;FIRSTENERGY;65;Utilities;651010;Electricity;65101015;Conventional Electricity
905596;H&R BLOCK;40;Consumer Discretionary;402010;Consumer Services;40201070;Consumer Services: Misc.
904818;BOEING;50;Industrials;502010;Aerospace and Defense;50201010;Aerospace
923649;ROBERT HALF INTL.;50;Industrials;502050;Industrial Support Services;50205025;Business Training and Employment Agencies
329709;BORGWARNER;40;Consumer Discretionary;401010;Automobiles and Parts;40101025;Auto Parts
325824;BOSTON SCIENTIFIC;20;Health Care;201020;Medical Equipment and Services;20102010;Medical Equipment
879628;CH ROBINSON WWD.;50;Industrials;502060;Industrial Transportation;50206010;Trucking
889831;TAKE TWO INTACT.SFTW.;40;Consumer Discretionary;402030;Leisure Goods;40203040;Electronic Entertainment
670032;METTLER TOLEDO INTL.;50;Industrials;502020;Electronic and Electrical Equipment;50202025;Electronic Equipment: Gauges and Meters
905080;BRISTOL MYERS SQUIBB;20;Health Care;201030;Pharmaceuticals and Biotechnology;20103015;Pharmaceuticals
904480;ONEOK;60;Energy;601010;Oil, Gas and Coal;60101035;Pipelines
130502;AVALONBAY COMMNS.;35;Real Estate;351020;Real Estate Investment Trusts;35102040;Residential REITs
670778;UNITED RENTALS;50;Industrials;502060;Industrial Transportation;50206050;Commercial Vehicle-Equipment Leasing
902103;SEMPRA EN.;65;Utilities;651020;Gas, Water and Multi-utilities;65102000;Multi-Utilities
951849;FEDEX;50;Industrials;502060;Industrial Transportation;50206040;Delivery Services
674693;VERISIGN;10;Technology;101010;Software and Computer Services;10101010;Computer Services
546075;AMPHENOL 'A';10;Technology;101020;Technology Hardware and Equipment;10102015;Electronic Components
912216;BROWN-FORMAN 'B';45;Consumer Staples;451010;Beverages;45101015;Distillers and Vintners
677091;QUANTA SERVICES;50;Industrials;501010;Construction and Materials;50101015;Engineering and Contracting Services
993189;CSX;50;Industrials;502060;Industrial Transportation;50206020;Railroads
542823;CABOT OIL & GAS 'A';60;Energy;601010;Oil, Gas and Coal;60101010;Oil: Crude Producers
905075;CAMPBELL SOUP;45;Consumer Staples;451020;Food Producers;45102020;Food Products
937083;CONSTELLATION BRANDS 'A';45;Consumer Staples;451010;Beverages;45101015;Distillers and Vintners
944704;CARDINAL HEALTH;20;Health Care;201030;Pharmaceuticals and Biotechnology;20103015;Pharmaceuticals
902224;CATERPILLAR;50;Industrials;502040;Industrial Engineering;50204020;Machinery: Construction and Handling
867705;CITRIX SYS.;10;Technology;101010;Software and Computer Services;10101015;Software
906838;CENTURYLINK;15;Telecommunications;151020;Telecommunications Service Providers;15102015;Telecommunications Services
741643;CERNER;20;Health Care;201010;Health Care Providers;20101025;Health Care Services
902242;JP MORGAN CHASE & CO.;30;Financials;302020;Investment Banking and Brokerage Services;30202000;Diversified Financial Services
982440;CHURCH & DWIGHT CO.;45;Consumer Staples;452010;Personal Care, Drug and Grocery Stores;45201030;Nondurable Household Products
951545;CINCINNATI FINL.;30;Financials;303020;Non-life Insurance;30302025;Property and Casualty Insurance
944777;CINTAS;50;Industrials;502050;Industrial Support Services;50205010;Industrial Suppliers
542868;CISCO SYSTEMS;15;Telecommunications;151010;Telecommunications Equipment;15101010;Telecommunications Equipment
916125;CLOROX;45;Consumer Staples;452010;Personal Care, Drug and Grocery Stores;45201030;Nondurable Household Products
904282;COCA COLA;45;Consumer Staples;451010;Beverages;45101020;Soft Drinks
130591;COPART;40;Consumer Discretionary;402010;Consumer Services;40201070;Consumer Services: Misc.
906148;COLGATE-PALM.;45;Consumer Staples;452010;Personal Care, Drug and Grocery Stores;45201020;Personal Products
677631;MARRIOTT INTL.'A';40;Consumer Discretionary;405010;Travel and Leisure;40501025;Hotels and Motels
922964;COMERICA;30;Financials;301010;Banks;30101010;Banks
28179N;NRG ENERGY;65;Utilities;651010;Electricity;65101015;Conventional Electricity
929814;CONAGRA BRANDS;45;Consumer Staples;451020;Food Producers;45102020;Food Products
902288;CONSOLIDATED EDISON;65;Utilities;651010;Electricity;65101015;Conventional Electricity
901686;CMS ENERGY;65;Utilities;651010;Electricity;65101015;Conventional Electricity
938928;COOPER COS.;20;Health Care;201020;Medical Equipment and Services;20102015;Medical Supplies
912273;CORNING;10;Technology;101020;Technology Hardware and Equipment;10102015;Electronic Components
923036;SEALED AIR;50;Industrials;502030;General Industrials;50203030;Containers and Packaging
905966;CUMMINS;50;Industrials;502040;Industrial Engineering;50204030;Machinery: Engines
325922;D R HORTON;40;Consumer Discretionary;402020;Household Goods and Home Construction;40202010;Home Construction
912941;DANAHER;20;Health Care;201020;Medical Equipment and Services;20102010;Medical Equipment
683118;MOODY'S;30;Financials;302010;Finance and Credit Services;30201030;Financial Data Providers
683199;COGNIZANT TECH.SLTN.'A';10;Technology;101010;Software and Computer Services;10101010;Computer Services
923425;TARGET;40;Consumer Discretionary;404010;Retailers;40401010;Diversified Retailers
906189;DEERE;50;Industrials;502040;Industrial Engineering;50204010;Machinery: Agricultural
327998;MORGAN STANLEY;30;Financials;302020;Investment Banking and Brokerage Services;30202015;Investment Services
683432;REPUBLIC SVS.'A';65;Utilities;651030;Waste and Disposal Services;65103035;Waste and Disposal Services
921964;WALT DISNEY;40;Consumer Discretionary;403010;Media;40301010;Entertainment
154259;DOLLAR TREE;40;Consumer Discretionary;404010;Retailers;40401010;Diversified Retailers
904830;DOVER;50;Industrials;502030;General Industrials;50203000;Diversified Industrials
932913;OMNICOM GROUP;40;Consumer Discretionary;403010;Media;40301020;Media Agencies
905214;DTE ENERGY;65;Utilities;651010;Electricity;65101015;Conventional Electricity
513260;DUKE REALTY;35;Real Estate;351020;Real Estate Investment Trusts;35102020;Industrial REITs
905755;FLOWSERVE;50;Industrials;502020;Electronic and Electrical Equipment;50202020;Electronic Equipment: Control and Filter
152719;DARDEN RESTAURANTS;40;Consumer Discretionary;405010;Travel and Leisure;40501040;Restaurants and Bars
687609;EBAY;40;Consumer Discretionary;402010;Consumer Services;40201070;Consumer Services: Misc.
923937;BANK OF AMERICA;30;Financials;301010;Banks;30101010;Banks
741344;CITIGROUP;30;Financials;301010;Banks;30101010;Banks
357922;EASTMAN CHEMICAL;55;Basic Materials;552010;Chemicals;55201000;Chemicals: Diversified
883488;E TRADE FINANCIAL;30;Financials;302020;Investment Banking and Brokerage Services;30202015;Investment Services
755148;CADENCE DESIGN SYS.;10;Technology;101010;Software and Computer Services;10101015;Software
135448;DISH NETWORK 'A';15;Telecommunications;151020;Telecommunications Service Providers;15102010;Cable Television Services
921268;ECOLAB;55;Basic Materials;552010;Chemicals;55201000;Chemicals: Diversified
912157;PERKINELMER;20;Health Care;201020;Medical Equipment and Services;20102010;Medical Equipment
500320;ELECTRONIC ARTS;40;Consumer Discretionary;402030;Leisure Goods;40203040;Electronic Entertainment
28236L;SALESFORCE.COM;10;Technology;101010;Software and Computer Services;10101015;Software
905115;EMERSON ELECTRIC;50;Industrials;502020;Electronic and Electrical Equipment;50202040;Electronic Equipment: Other
511339;ATMOS ENERGY;65;Utilities;651020;Gas, Water and Multi-utilities;65102020;Gas Distribution
131844;ESSEX PROPERTY TST.;35;Real Estate;351020;Real Estate Investment Trusts;35102040;Residential REITs
902306;ENTERGY;65;Utilities;651010;Electricity;65101015;Conventional Electricity
500373;EOG RES.;60;Energy;601010;Oil, Gas and Coal;60101010;Oil: Crude Producers
906194;EQUIFAX;50;Industrials;502050;Industrial Support Services;50205020;Professional Business Support Services
329534;EQUITY RESD.TST.PROPS. SHBI;35;Real Estate;351020;Real Estate Investment Trusts;35102040;Residential REITs
867375;ESTEE LAUDER COS.'A';40;Consumer Discretionary;402040;Personal Goods;40204035;Cosmetics
910722;EXPEDITOR INTL.OF WASH.;50;Industrials;502060;Industrial Transportation;50206060;Transportation Services
905039;EXXON MOBIL;60;Energy;601010;Oil, Gas and Coal;60101000;Integrated Oil and Gas
905082;FMC;55;Basic Materials;552010;Chemicals;55201015;Fertilizers
905016;NEXTERA ENERGY;65;Utilities;651010;Electricity;65101015;Conventional Electricity
28341F;ASSURANT;30;Financials;303020;Non-life Insurance;30302025;Property and Casualty Insurance
755980;FASTENAL;55;Basic Materials;551020;Industrial Metals and Mining;55102015;Metal Fabricating
905994;FEDERAL REALTY INV.TST.;35;Real Estate;351020;Real Estate Investment Trusts;35102045;Retail REITs
997198;FIFTH THIRD BANCORP;30;Financials;301010;Banks;30101010;Banks
951503;M&T BANK;30;Financials;301010;Banks;30101010;Banks
741123;FISERV;50;Industrials;502050;Industrial Support Services;50205015;Transaction Processing Services
329097;FLIR SYSTEMS;50;Industrials;502020;Electronic and Electrical Equipment;50202025;Electronic Equipment: Gauges and Meters
938076;FRANKLIN RESOURCES;30;Financials;302020;Investment Banking and Brokerage Services;30202010;Asset Managers and Custodians
152594;FREEPORT-MCMORAN;55;Basic Materials;551020;Industrial Metals and Mining;55102040;Copper
756957;ARTHUR J GALLAGHER;30;Financials;303020;Non-life Insurance;30302025;Property and Casualty Insurance
951018;GAP;40;Consumer Discretionary;404010;Retailers;40401020;Apparel Retailers
907652;GENERAL DYNAMICS;50;Industrials;502010;Aerospace and Defense;50201020;Defense
905801;GENERAL MILLS;45;Consumer Staples;451020;Food Producers;45102020;Food Products
906511;GENUINE PARTS;40;Consumer Discretionary;401010;Automobiles and Parts;40101025;Auto Parts
546697;GILEAD SCIENCES;20;Health Care;201030;Pharmaceuticals and Biotechnology;20103015;Pharmaceuticals
324784;GARTNER 'A';10;Technology;101010;Software and Computer Services;10101010;Computer Services
134784;MCKESSON;45;Consumer Staples;452010;Personal Care, Drug and Grocery Stores;45201015;Drug Retailers
694405;NVIDIA;10;Technology;101020;Technology Hardware and Equipment;10102010;Semiconductors
906150;GENERAL ELECTRIC;50;Industrials;502030;General Industrials;50203000;Diversified Industrials
905898;WW GRAINGER;50;Industrials;502050;Industrial Support Services;50205010;Industrial Suppliers
904678;HALLIBURTON;60;Energy;601010;Oil, Gas and Coal;60101030;Oil Equipment and Services
696738;GOLDMAN SACHS GP.;30;Financials;302020;Investment Banking and Brokerage Services;30202015;Investment Services
912030;HASBRO;40;Consumer Discretionary;402030;Leisure Goods;40203045;Toys
867185;HENRY SCHEIN;20;Health Care;201020;Medical Equipment and Services;20102015;Medical Supplies
905077;HERSHEY;45;Consumer Staples;451020;Food Producers;45102020;Food Products
699628;F5 NETWORKS;10;Technology;101010;Software and Computer Services;10101010;Computer Services
699943;JUNIPER NETWORKS;15;Telecommunications;151010;Telecommunications Equipment;15101010;Telecommunications Equipment
542983;HOLOGIC;20;Health Care;201020;Medical Equipment and Services;20102010;Medical Equipment
741410;UNUM GROUP;30;Financials;303010;Life Insurance;30301010;Life Insurance
998171;HOME DEPOT;40;Consumer Discretionary;404010;Retailers;40401025;Home Improvement Retailers
921051;HORMEL FOODS;45;Consumer Staples;451020;Food Producers;45102020;Food Products
904842;CENTERPOINT EN.;65;Utilities;651020;Gas, Water and Multi-utilities;65102020;Gas Distribution
916860;HUMANA;20;Health Care;201010;Health Care Providers;20101020;Health Care Management Services
945411;HUNT JB TRANSPORT SVS.;50;Industrials;502060;Industrial Transportation;50206010;Trucking
951068;HUNTINGTON BCSH.;30;Financials;301010;Banks;30101010;Banks
545725;BIOGEN;20;Health Care;201030;Pharmaceuticals and Biotechnology;20103010;Biotechnology
